"TANDIL BACKEND — API INDEX (each row = one unique API: METHOD + path; duplicates from Postman removed)",,,,,,,
,,,,,,,
"HOW TO USE THIS FILE",,,,,,,
"Sort or filter by column ""Audience"" for Client, Admin, Supervisor, etc. Use ""Postman root folder"" to jump to the same top folder in Postman.",,,,,,,
,,,,,,,
"WHERE EACH USER TYPE STARTS IN POSTMAN (folder numbers match tandil_backend.json)",,,,,,,
"Shared / entry","Folder ""1. Health Check - START HERE"" (health check first; wallet summaries listed here are shared across roles).",,,,,,,
"All roles","Folder ""2. Authentication"" (register, login, password, email verification).",,,,,,,
Client,"Folders ""3."" through ""8."" (profile, subscriptions, banners, visits, reports, shop & orders; payments under ""8."").",,,,,,,
Technician,"Folder ""9. Technician Dashboard – All APIs"".",,,,,,,
Supervisor,"Folder ""10. Supervisor Dashboard – All APIs"".",,,,,,,
"Area Manager","Folder ""11. Area Manager Dashboard – All APIs"".",,,,,,,
"HR Manager","Folder ""12. HR Manager Dashboard – All APIs"".",,,,,,,
Admin,"Folders ""13."" through ""16."" (stats & users, reports, support tickets, settings).",,,,,,,
"Cross-role / other","Folder ""17. Other Modules"" (e.g. notifications hub, shared utilities).",,,,,,,
,,,,,,,
"Sr. No.",Audience,"Postman root folder",Name,"Module (full path in Postman)",Methods,Endpoint,Status
79,"Technician — folder 9","9. Technician Dashboard – All APIs","PUT Technician – Profile update","9. Technician Dashboard – All APIs > B. Profile",PUT,/api/technician/profile,Active
80,"Technician — folder 9","9. Technician Dashboard – All APIs","POST Technician – Profile update","9. Technician Dashboard – All APIs > B. Profile",POST,/api/technician/profile,Active
81,"Technician — folder 9","9. Technician Dashboard – All APIs","Technician - Get Assigned Visits","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/tech/visits,Active
82,"Technician — folder 9","9. Technician Dashboard – All APIs","Technician - Accept Visit","9. Technician Dashboard – All APIs > C. Visits & Tasks",POST,/api/tech/visits/{{visit_id}}/accept,Active
83,"Technician — folder 9","9. Technician Dashboard – All APIs","Technician - Start Visit","9. Technician Dashboard – All APIs > C. Visits & Tasks",POST,/api/tech/visits/{{visit_id}}/start,Active
84,"Technician — folder 9","9. Technician Dashboard – All APIs","Technician - Complete Visit","9. Technician Dashboard – All APIs > C. Visits & Tasks",POST,/api/tech/visits/{{visit_id}}/complete,Active
85,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Tasks list","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/technician/tasks,Active
86,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Task by ID","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/technician/tasks/{{visit_id}},Active
87,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Task details","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/technician/tasks/{{visit_id}}/detail,Active
88,"Technician — folder 9","9. Technician Dashboard – All APIs","PUT Technician – Task status","9. Technician Dashboard – All APIs > C. Visits & Tasks",PUT,/api/technician/tasks/{{visit_id}}/status,Active
89,"Technician — folder 9","9. Technician Dashboard – All APIs","POST Technician – Task accept","9. Technician Dashboard – All APIs > C. Visits & Tasks",POST,/api/technician/tasks/{{visit_id}}/accept,Active
90,"Technician — folder 9","9. Technician Dashboard – All APIs","POST Technician – Task reject","9. Technician Dashboard – All APIs > C. Visits & Tasks",POST,/api/technician/tasks/{{visit_id}}/reject,Active
91,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Jobs history","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/technician/jobs,Active
92,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Jobs (accepted)","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/technician/jobs/accepted,Active
93,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Jobs (rejected)","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/technician/jobs/rejected,Active
94,"Technician — folder 9","9. Technician Dashboard – All APIs","GET Technician – Jobs status counts","9. Technician Dashboard – All APIs > C. Visits & Tasks",GET,/api/technician/jobs/status-counts,Active
